source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[fractionation method]	comment[nuclear protein fraction]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[nuclear protein fraction]
Vitis_41B_WT_iTRAQ121	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	4	20120319_14_H2SO4_IV_excl_iTRAQ121	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ121;AC=PRIDE:0000538	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	4	2	20120319_14_H2SO4_IV_excl.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ113	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	1	20120319_15_H2SO4_V_iTRAQ113	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ113;AC=PRIDE:0000531	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ114	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	1	20120319_15_H2SO4_V_iTRAQ114	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ114;AC=PRIDE:0000532	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ115	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	2	20120319_15_H2SO4_V_iTRAQ115	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ115;AC=PRIDE:0000533	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ116	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	2	20120319_15_H2SO4_V_iTRAQ116	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ116;AC=PRIDE:0000534	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ117	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	3	20120319_15_H2SO4_V_iTRAQ117	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ117;AC=PRIDE:0000535	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ118	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	3	20120319_15_H2SO4_V_iTRAQ118	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ118;AC=PRIDE:0000536	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ119	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	4	20120319_15_H2SO4_V_iTRAQ119	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ119;AC=PRIDE:0000537	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ121	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	4	20120319_15_H2SO4_V_iTRAQ121	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ121;AC=PRIDE:0000538	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	5	1	20120319_15_H2SO4_V.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ113	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	1	20120319_16_H2SO4_VI_iTRAQ113	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ113;AC=PRIDE:0000531	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ114	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	1	20120319_16_H2SO4_VI_iTRAQ114	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ114;AC=PRIDE:0000532	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ115	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	2	20120319_16_H2SO4_VI_iTRAQ115	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ115;AC=PRIDE:0000533	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ116	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	2	20120319_16_H2SO4_VI_iTRAQ116	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ116;AC=PRIDE:0000534	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ117	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	3	20120319_16_H2SO4_VI_iTRAQ117	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ117;AC=PRIDE:0000535	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ118	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	3	20120319_16_H2SO4_VI_iTRAQ118	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ118;AC=PRIDE:0000536	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_RNAi_iTRAQ119	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	RNA Interference	cell	study sample	4	20120319_16_H2SO4_VI_iTRAQ119	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ119;AC=PRIDE:0000537	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	RNA Interference	H2SO4-chromatin loosely bound
Vitis_41B_WT_iTRAQ121	Vitis vinifera	embryogenic callus	not applicable	normal	not available	41B (Chasselas x Vitis berlandieri)	half-strength MS, glycerol 4.6 g/L, maltose 18 g/L, naphthoxyacetic acid 1 mg/L, darkness, 21 C, 110 rpm	untreated	cell	study sample	4	20120319_16_H2SO4_VI_iTRAQ121	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ121;AC=PRIDE:0000538	NT=Trypsin;AC=MS:1001251	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;TA=Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=trap-type collision-induced dissociation;AC=MS:1002472	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	35 NCE;45 NCE	10 ppm	0.8 Da	NT=Methyl methanethiosulfonate (MMTS);AC=PRIDE:0000605	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	H2SO4-chromatin loosely bound	6	1	20120319_16_H2SO4_VI.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	untreated	H2SO4-chromatin loosely bound
